company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
Together AI,together.ai,,San Francisco,US,201-500 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify (Blitz); founder-presence not contact-verified this run"
innRoad,innroad.com,https://www.linkedin.com/in/frederikrasmussen/,New York,US,100,10M-25M,Software Development,SaaS hotel PMS platform,yes,"CEO Frederik Rasmussen based Boston, MA - founder-presence verified"
Chili Piper,chilipiper.com,,New York,US,275,75M-200M,Software Development,SaaS demand conversion platform,yes,"Co-CEOs based Brooklyn NY - founder-presence verified"
Docsumo,docsumo.com,,New York,US,77,10M-25M,Software Development,Document AI SaaS,yes,"Co-founder/CEO based New York - founder-presence verified"
Ushur,ushur.ai,,Santa Clara,US,186,10M-25M,Software Development,AI CX automation SaaS; $50-100M funding,yes,"CEO San Jose CA, VP Sales SF Bay Area - founder-presence verified"
Skit.ai,skit.ai,,(NY state - city null),US,201-500 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Wooqer,wooqer.com,,San Jose,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Salesken,salesken.ai,,New York,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Humand,humand.co,,San Francisco,US,718,200M-500M,Software Development,HR/internal-comms SaaS,yes,"CEO & Co-founder based San Francisco - founder-presence verified"
Connecteam,connecteam.com,,New York,US,536,200M-500M,Software Development,Deskless-workforce SaaS; $220M+ funding,no,"DISQUALIFIED - nominal HQ NYC but CEO/CTO/most leadership based Tel Aviv, Israel; fails icp-overview.md founder-locally-present geo filter"
HICX,hicx.com,,London,GB,117,25M-50M,Software Development,Supplier-management SaaS,yes,"CEO + Founder/Chairman both London-based - founder-presence verified"
Hyperproof,hyperproof.io,,Seattle,US,153,10M-25M,Software Development,GRC/compliance SaaS,yes,"Founder/CEO based St. Petersburg FL (US) - founder-presence verified"
Vasion,vasion.com,,St. George,US,201-500 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Contify,contify.com,,(NY state - city null),US,201-500 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Scratchpad,scratchpad.com,,Covina,US,45,10M-25M,Software Development,Sales-productivity SaaS,no,"EXCLUDED THIS RUN - Clay's contact pull for this company returned people whose latest_experience_company is 'Clearskies' (as of 2026-08), i.e. founders/leadership appear to have left; needs manual re-check before qualifying, not confirmed disqualified"
Clean Power Research,cleanpower.com,,Bellevue,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Authenticx,authenticx.com,,Indianapolis,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Optymyze,optymyze.com,,London,GB,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Bluecore,bluecore.com,,New York,US,355,75M-200M,Software Development,Retail marketing SaaS; $100-250M funding,yes,"Cofounder/CEO based United States - founder-presence verified"
Trifacta,trifacta.com,,San Francisco,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
CoreView,coreview.com,,Washington,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Mutiny,mutinyhq.com,,San Francisco,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Ninety,ninety.io,,Park City,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Conversica,conversica.com,,San Francisco,US,106,10M-25M,Software Development,AI sales-engagement SaaS,yes,"CEO Michael Gilson based United States - founder-presence verified"
AlohaABA,alohaaba.com,,Los Angeles,US,11-50 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Hyro,hyro.ai,,New York,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Aktana,aktana.com,,San Francisco,US,201-500 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
Centerbase,centerbase.com,,Dallas,US,128,10M-25M,Software Development,Legal practice-management SaaS,yes,"CEO Michael Dunn based Dallas-Fort Worth - founder-presence verified"
FormAssembly,formassembly.com,,Bloomington,US,51-200 (LI band),,Software Development,SaaS keyword match,yes,"Firmographic-only qualify; founder-presence not contact-verified this run"
