company_name,domain,linkedin_url,hq_city,hq_country,employee_count,estimated_revenue,industry,signal(s),qualified (yes/no),notes
Figma,figma.bot,https://www.linkedin.com/company/figma,San Francisco,United States,3137,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,no,"MISTAG: design SaaS/software tool, not a marketing/creative agency -- excluded despite matching 'Design Services' industry tag."
Publicis Groupe,publicisgroupe.com,https://www.linkedin.com/company/publicis-groupe,,France,41945,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
VML,vml.com,https://www.linkedin.com/company/vml,New York,United States,30661,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
Pantone,pantone.com,https://www.linkedin.com/company/pantone,Carlstadt,United States,438,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Leo Burnett,leoburnett.com,https://www.linkedin.com/company/leo-burnett,Chicago,United States,6723,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
IPG Mediabrands,ipgmediabrands.com,https://www.linkedin.com/company/ipgmediabrands,New York,United States,8011,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
IDEO,ideo.com,https://www.linkedin.com/company/ideo,San Francisco,United States,1449,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Edelman,edelman.com,https://www.linkedin.com/company/edelman,New York,United States,6698,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
McCann,mccann.com,https://www.linkedin.com/company/mccann,New York,United States,6329,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
Epsilon,epsilon.com,https://www.linkedin.com/company/epsilon,Irving,United States,10336,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Weber Shandwick,webershandwick.com,https://www.linkedin.com/company/weber-shandwick,New York,United States,4044,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
YouGov,yougov.com,https://www.linkedin.com/company/yougov,London,United Kingdom,4683,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Market Research,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Pentagram,pentagram.com,https://www.linkedin.com/company/pentagram,London,United Kingdom,739,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
HDR,hdrinc.com,https://www.linkedin.com/company/hdr,Omaha,United States,17903,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Design Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
Grey,grey.com,https://www.linkedin.com/company/grey,New York,United States,2912,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Omnicom,omc.com,https://www.linkedin.com/company/omnicom,New York,United States,8518,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
Mindshare,mindshareworld.com,https://www.linkedin.com/company/mindshare,London,United Kingdom,6718,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Ddb,ddb.com,https://www.linkedin.com/company/ddb,New York,United States,7466,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Wieden Kennedy,wk.com,https://www.linkedin.com/company/wieden---kennedy,Portland,United States,1686,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
天联广告公司,bbdo.com,https://www.linkedin.com/company/bbdo,New York,United States,1960,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Wunderman Thompson,wundermanthompson.com,https://www.linkedin.com/company/wunderman-thompson-,New York,United States,2130,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
Hill & Knowlton,hillandknowlton.com,https://www.linkedin.com/company/hillandknowlton,,United States,2275,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Public Relations and Communications Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Mediacom,essencemediacom.com,https://www.linkedin.com/company/mediacom,London,United Kingdom,4672,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
INFUSE,infuse.com,https://www.linkedin.com/company/infuse,Boca Raton,United States,823,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Informa Markets,informamarkets.com,https://www.linkedin.com/company/informamarkets,London,United Kingdom,3225,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Events Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
VaynerMedia,vaynermedia.com,https://www.linkedin.com/company/vaynermedia,New York,United States,1408,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Havas Group,havas.com,https://www.linkedin.com/company/havas,Puteaux,France,11022,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
Starcom,starcomww.com,https://www.linkedin.com/company/starcom1,Chicago,United States,5606,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Cannes Lions International Festival Of Creativity,canneslions.com,https://www.linkedin.com/company/cannes-lions-international-advertising-festival,London,United Kingdom,414,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
JCDecaux,jcdecaux.com,https://www.linkedin.com/company/jcdecaux,Neuilly-Sur-Seine,France,6369,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
Criteo,bit.ly,https://www.linkedin.com/company/criteo,Paris,France,3971,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
Accenture Song,accenture.com,https://www.linkedin.com/company/accenture-song,,United States,10126,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Marketing Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,
TBWA\Worldwide,tbwa.com,https://www.linkedin.com/company/tbwa,New York,United States,10267,"n/a (Blitz company-search does not return revenue per-row; filtered server-side via revenue.min=1,000,000)",Advertising Services,not assessed this run -- no fixed_signals defined yet for this vertical,yes,Large global holding-company network -- included per widened-net instruction; note it will dominate any blanket people-search pull (see Progress Log).
